target_gene,target_uniprot,target_chembl_id,chembl_assay_id,chembl_compound_id,smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value
HRH2,P25021,CHEMBL1941,CHEMBL702653,CHEMBL308717,CCC/N=C(\S)NCCCCCc1c[nH]cn1,Ki,5011.87,nM,=,5.30
HRH2,P25021,CHEMBL1941,CHEMBL697132,CHEMBL292558,NC[C@H]1C[C@@H]1c1c[nH]cn1,EC50,0.0001,nM,>,
HRH2,P25021,CHEMBL1941,CHEMBL702653,CHEMBL12160,C/N=C(\S)NCCCCc1c[nH]cn1,Ki,3981.07,nM,=,5.40
HRH2,P25021,CHEMBL1941,CHEMBL697132,CHEMBL60716,NCC[C@@H]1C[C@@H]1c1c[nH]cn1,EC50,0.0001,nM,>,
HRH2,P25021,CHEMBL1941,CHEMBL697132,CHEMBL13559,N[C@@H]1C[C@H]1c1c[nH]cn1,EC50,2500.0,nM,=,5.60
HRH2,P25021,CHEMBL1941,CHEMBL702653,CHEMBL305929,S=C(NCCCCCc1c[nH]cn1)NCCc1ccccc1,Ki,3162.28,nM,=,5.50
HRH2,P25021,CHEMBL1941,CHEMBL697132,CHEMBL59389,N[C@@H]1C[C@@H]1c1c[nH]cn1,EC50,0.0001,nM,>,
HRH2,P25021,CHEMBL1941,CHEMBL697132,CHEMBL305135,NC[C@@H]1C[C@@H]1c1c[nH]cn1,EC50,0.0001,nM,>,
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL104994,CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)[C@@H](N)CO)C2)cc1,Ki,22000.0,nM,=,4.66
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL107293,Cc1ccc(S(=O)(=O)N[C@H]2CCN(CCCOc3ccc(C(=O)C4CC4)cc3)C2)cc1,Ki,380.0,nM,=,6.42
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL102840,CC(=O)c1ccc(OCCCN2CC[C@H](NS(=O)(=O)c3ccc(C#N)cc3)C2)cc1,Ki,2300.0,nM,=,5.64
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL104808,O=C(c1ccc(OCCCN2CC[C@H](NS(=O)(=O)c3ccc(F)cc3)C2)cc1)C1CC1,Ki,500.0,nM,=,6.30
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL105071,CC(C)(C)c1ccc(S(=O)(=O)N[C@H]2CCN(CCCOc3ccc(C(=O)C4CC4)cc3)C2)cc1,Ki,730.0,nM,=,6.14
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL101634,CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)c3csc(-c4cccnc4)n3)C2)cc1,Ki,6200.0,nM,=,5.21
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL102925,CCc1ccc(S(=O)(=O)N[C@H]2CCN(CCCOc3ccc(C(=O)C4CC4)cc3)C2)cc1,Ki,330.0,nM,=,6.48
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL430502,CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)c3ccc(C#N)cc3)C2)cc1,Ki,6100.0,nM,=,5.21
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL103027,Cc1cccc(S(=O)(=O)N[C@H]2CCN(CCCOc3ccc(C(=O)C4CC4)cc3)C2)c1,Ki,1800.0,nM,=,5.75
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL319231,CC(=O)c1ccc(OCCCN2CC[C@H](N)C2)cc1,Ki,50000.0,nM,=,4.30
HRH2,P25021,CHEMBL1941,CHEMBL697136,CHEMBL319231,CC(=O)c1ccc(OCCCN2CC[C@H](N)C2)cc1,Ki,31000.0,nM,=,4.51
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL320174,CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)[C@H](C)NC(=O)OC(C)(C)C)C2)cc1,Ki,24000.0,nM,=,4.62
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL102331,CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)c3cccnc3)C2)cc1,Ki,3500.0,nM,=,5.46
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL101748,N#Cc1cccc(S(=O)(=O)N[C@H]2CCN(CCCOc3ccc(C(=O)C4CC4)cc3)C2)c1,Ki,900.0,nM,=,6.05
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL104618,O=C(c1ccc(OCCCN2CC[C@H](NS(=O)(=O)c3ccccc3F)C2)cc1)C1CC1,Ki,1550.0,nM,=,5.81
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL321320,O=C(c1ccc(OCCCN2CC[C@H](NS(=O)(=O)c3cccc(Cl)c3)C2)cc1)C1CC1,Ki,700.0,nM,=,6.16
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL104344,O=C(c1ccc(OCCCN2CC[C@H](NS(=O)(=O)c3ccc(Cl)cc3)C2)cc1)C1CC1,Ki,290.0,nM,=,6.54
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL322678,Cn1cnc(S(=O)(=O)N[C@H]2CCN(CCCOc3ccc(C(=O)C4CC4)cc3)C2)c1,Ki,7100.0,nM,=,5.15
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL102390,CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)[C@@H](CO)NC(=O)OC(C)(C)C)C2)cc1,Ki,100000.0,nM,=,4.00
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL102384,O=C(c1ccc(OCCCN2CC[C@H](NS(=O)(=O)c3ccccc3Cl)C2)cc1)C1CC1,Ki,1000.0,nM,=,6.00
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL321709,O=C(c1ccc(OCCCN2CC[C@H](NS(=O)(=O)c3ccc(Br)cc3)C2)cc1)C1CC1,Ki,290.0,nM,=,6.54
HRH2,P25021,CHEMBL1941,CHEMBL697135,CHEMBL103828,CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)[C@@H](C)NC(=O)OC(C)(C)C)C2)cc1,Ki,40000.0,nM,=,4.40
